"product_key","product_id","product_name","category"
105,"90-343-9640",Avocado Oil,Oils & Fats
106,"67-512-9754",Egg (Turkey),Dairy
107,"59-725-4038",Arabica Coffee,Beverages
108,"48-770-6319",Egg (Duck),Dairy
109,"57-437-1828",Plum,Fruits & Vegetables
110,"67-025-1245",Cabbage,Fruits & Vegetables
111,"73-118-1117",Olive Oil,Oils & Fats
112,"09-536-2626",Olive Oil,Oils & Fats
113,"65-759-3721",Butter Biscuit,Bakery
114,"76-325-9093",Sesame Oil,Oils & Fats
115,"06-068-6793",Buttermilk,Dairy
116,"19-214-5762",Pear,Fruits & Vegetables
117,"18-199-5799",Cheddar Cheese,Dairy
118,"01-144-5960",Trout,Seafood
119,"87-199-2743",Papaya,Fruits & Vegetables
120,"06-655-5498",Wild Rice,Grains & Pulses
121,"24-989-3302",Coconut,Fruits & Vegetables
122,"93-772-3085",Banana,Fruits & Vegetables
123,"43-910-2342",Plum,Fruits & Vegetables
124,"61-801-8665",Robusta Coffee,Beverages
125,"77-312-6317",Spinach,Fruits & Vegetables
126,"89-624-7462",Asparagus,Fruits & Vegetables
127,"77-013-1553",Canola Oil,Oils & Fats
128,"69-468-5468",Sourdough Bread,Bakery
129,"62-393-9939",Cheddar Cheese,Dairy
130,"09-335-7793",Powdered Sugar,Grains & Pulses
131,"36-531-4087",Almond Flour,Grains & Pulses
132,"79-741-0770",Mushrooms,Fruits & Vegetables
133,"22-849-2551",Mushrooms,Fruits & Vegetables
134,"47-554-5780",Haddock,Seafood
135,"08-196-2703",Peas,Fruits & Vegetables
136,"03-061-1344",Trout,Seafood
137,"15-240-6267",Eggplant,Fruits & Vegetables
138,"01-050-2246",Grapes,Fruits & Vegetables
139,"64-478-4745",Lemon,Fruits & Vegetables
140,"63-890-1246",Oatmeal Biscuit,Bakery
141,"02-085-7218",Cheddar Cheese,Dairy
142,"74-711-7160",Sushi Rice,Grains & Pulses
143,"74-234-0628",Almond Flour,Grains & Pulses
144,"71-954-4501",Anchovies,Seafood
145,"06-340-6856",Wild Rice,Grains & Pulses
146,"98-499-2220",Parmesan Cheese,Dairy
147,"55-936-2406",Bread Flour,Grains & Pulses
148,"50-930-4751",Salmon,Seafood
149,"82-243-3180",Palm Oil,Oils & Fats
150,"21-809-7115",White Rice,Grains & Pulses
151,"58-219-0241",Avocado Oil,Oils & Fats
152,"79-136-9840",Herbal Tea,Beverages
153,"61-827-4098",Cod,Seafood
154,"07-858-5487",Swiss Cheese,Dairy
155,"49-891-4927",Cottage Cheese,Dairy
156,"94-029-2717",Broccoli,Fruits & Vegetables
157,"34-709-9237",Carrot,Fruits & Vegetables
158,"39-358-3340",Basmati Rice,Grains & Pulses
159,"93-198-5984",Mango,Fruits & Vegetables
160,"02-508-3777",Egg (Quail),Dairy
161,"90-773-9557",Butter,Dairy
162,"04-453-5485",Tomato,Fruits & Vegetables
163,"75-029-9003",Sourdough Bread,Bakery
164,"86-273-9377",White Rice,Grains & Pulses
165,"86-692-2312",Avocado Oil,Oils & Fats
166,"41-594-5069",Egg (Duck),Dairy
167,"59-075-2457",Egg (Goose),Dairy
168,"76-623-7844",Egg (Quail),Dairy
169,"25-522-6043",Gouda Cheese,Dairy
170,"17-236-0566",Sweet Potato,Fruits & Vegetables
171,"89-543-3456",Blueberries,Fruits & Vegetables
172,"46-083-7058",Haddock,Seafood
173,"24-571-1080",Kale,Fruits & Vegetables
174,"85-781-5386",Salmon,Seafood
175,"14-550-2152",Green Tea,Beverages
176,"04-637-8815",Apricot,Fruits & Vegetables
177,"06-336-5482",Sardines,Seafood
178,"87-423-8486",Powdered Sugar,Grains & Pulses
179,"10-137-9759",Watermelon,Fruits & Vegetables
180,"44-476-0390",Lemon,Fruits & Vegetables
181,"22-266-9291",Sardines,Seafood
182,"39-315-3936",Heavy Cream,Dairy
183,"07-846-4804",Jasmine Rice,Grains & Pulses
184,"38-049-9319",Oatmeal Biscuit,Bakery
185,"74-294-3760",Peanut Oil,Oils & Fats
186,"99-048-8310",Tomato,Fruits & Vegetables
187,"84-272-0790",Blueberries,Fruits & Vegetables
188,"13-409-9040",White Tea,Beverages
189,"15-562-3712",Cauliflower,Fruits & Vegetables
190,"63-918-8253",Mango,Fruits & Vegetables
191,"72-989-2512",Mushrooms,Fruits & Vegetables
192,"70-534-7796",Zucchini,Fruits & Vegetables
193,"13-844-2178",Sardines,Seafood
194,"74-404-0582",Cherry,Fruits & Vegetables
195,"66-268-8345",Greek Yogurt,Dairy
196,"71-436-5841",Cauliflower,Fruits & Vegetables
197,"12-093-9863",Arborio Rice,Grains & Pulses
198,"07-337-9889",Cauliflower,Fruits & Vegetables
199,"53-080-8252",Sourdough Bread,Bakery
200,"50-364-5828",Coconut,Fruits & Vegetables
201,"58-122-2282",Black Tea,Beverages
202,"96-682-8546",Egg (Chicken),Dairy
203,"33-378-1365",Egg (Goose),Dairy
204,"41-538-3129",Digestive Biscuit,Bakery
205,"95-640-0293",Arborio Rice,Grains & Pulses
206,"87-762-1317",Mozzarella Cheese,Dairy
207,"74-666-5671",Tuna,Seafood
208,"40-860-4532",Arabica Coffee,Beverages
209,"27-881-1177",Green Tea,Beverages
210,"55-631-7937",Greek Yogurt,Dairy
211,"62-998-7250",Evaporated Milk,Dairy
212,"84-327-7787",Egg (Chicken),Dairy
213,"19-021-5024",Broccoli,Fruits & Vegetables
214,"82-041-7211",Swiss Cheese,Dairy
215,"79-884-8810",Cucumber,Fruits & Vegetables
216,"83-917-7384",Garlic,Fruits & Vegetables
217,"60-285-3783",Mushrooms,Fruits & Vegetables
218,"74-548-9313",Mango,Fruits & Vegetables
219,"10-854-5467",Canola Oil,Oils & Fats
220,"05-334-2923",Bread Flour,Grains & Pulses
221,"87-013-6488",Sushi Rice,Grains & Pulses
222,"27-635-8394",Orange,Fruits & Vegetables
223,"13-962-6263",Sweet Potato,Fruits & Vegetables
224,"28-275-5901",Anchovies,Seafood
225,"07-074-1196",Plum,Fruits & Vegetables
226,"72-780-6006",Sunflower Oil,Oils & Fats
227,"57-861-4379",Swiss Cheese,Dairy
228,"63-168-6018",Cucumber,Fruits & Vegetables
229,"32-261-0008",Heavy Cream,Dairy
230,"91-105-7317",Orange,Fruits & Vegetables
231,"90-230-9767",Long Grain Rice,Grains & Pulses
232,"91-127-7489",Orange,Fruits & Vegetables
233,"27-495-1912",Potato,Fruits & Vegetables
234,"34-110-1040",Bell Pepper,Fruits & Vegetables
235,"42-879-9478",Anchovies,Seafood
236,"06-955-3428",Black Rice,Grains & Pulses
237,"49-570-8214",Sour Cream,Dairy
238,"67-546-1568",Peanut Oil,Oils & Fats
239,"25-353-2067",Papaya,Fruits & Vegetables
240,"88-951-9038",Black Coffee,Beverages
241,"85-806-8672",Black Tea,Beverages
242,"34-291-4939",Digestive Biscuit,Bakery
243,"03-441-4252",Yogurt,Dairy
244,"11-032-9778",Peas,Fruits & Vegetables
245,"17-265-1899",Orange,Fruits & Vegetables
246,"40-810-9261",Green Coffee,Beverages
247,"43-893-5408",Short Grain Rice,Grains & Pulses
248,"12-439-8428",Eggplant,Fruits & Vegetables
249,"45-250-4679",Bread Flour,Grains & Pulses
250,"60-343-3288",Tilapia,Seafood
251,"06-996-3221",Evaporated Milk,Dairy
252,"39-192-3521",Herbal Tea,Beverages
253,"55-522-8242",Whipped Cream,Dairy
254,"51-462-0747",Lime,Fruits & Vegetables
255,"51-000-8113",Green Tea,Beverages
256,"53-667-4109",Onion,Fruits & Vegetables
257,"82-538-4809",Cabbage,Fruits & Vegetables
258,"80-374-5711",Herbal Tea,Beverages
259,"88-807-8431",Haddock,Seafood
260,"36-840-2728",Mackerel,Seafood
261,"76-854-0095",White Sugar,Grains & Pulses
262,"57-359-3397",Garlic,Fruits & Vegetables
263,"46-753-8430",Feta Cheese,Dairy
264,"88-977-0175",Chocolate Biscuit,Bakery
265,"22-319-1377",White Sugar,Grains & Pulses
266,"17-253-5688",Greek Yogurt,Dairy
267,"28-197-9246",Powdered Sugar,Grains & Pulses
268,"57-613-5779",Gouda Cheese,Dairy
269,"83-704-6367",Arabica Coffee,Beverages
270,"72-341-1154",Heavy Cream,Dairy
271,"02-974-8526",Onion,Fruits & Vegetables
272,"60-747-8704",Papaya,Fruits & Vegetables
273,"81-578-7404",Gouda Cheese,Dairy
274,"11-073-0189",Plum,Fruits & Vegetables
275,"85-561-4694",Kiwi,Fruits & Vegetables
276,"10-768-2443",Multigrain Bread,Bakery
277,"46-911-1159",Onion,Fruits & Vegetables
278,"80-698-0324",Butter Biscuit,Bakery
279,"14-681-7035",White Tea,Beverages
280,"83-117-7658",Asparagus,Fruits & Vegetables
281,"15-762-1058",Lime,Fruits & Vegetables
282,"79-400-6216",Mozzarella Cheese,Dairy
283,"24-972-6969",Cheese,Dairy
284,"49-919-8798",Evaporated Milk,Dairy
285,"10-445-0741",Anchovies,Seafood
286,"73-751-4393",Onion,Fruits & Vegetables
287,"65-527-9488",Grapes,Fruits & Vegetables
288,"68-636-4774",Carrot,Fruits & Vegetables
289,"78-956-4737",Sushi Rice,Grains & Pulses
290,"38-664-2155",Cauliflower,Fruits & Vegetables
291,"03-833-3577",Cucumber,Fruits & Vegetables
292,"99-033-5661",Rice Flour,Grains & Pulses
293,"03-940-0630",Sunflower Oil,Oils & Fats
294,"99-561-4871",Haddock,Seafood
295,"46-452-9419",Egg (Duck),Dairy
296,"14-489-8669",All-Purpose Flour,Grains & Pulses
297,"31-403-6234",Tuna,Seafood
298,"02-559-8196",Mango,Fruits & Vegetables
299,"68-977-6854",Apricot,Fruits & Vegetables
300,"88-183-5781",Whole Wheat Bread,Bakery
301,"00-534-9775",Black Coffee,Beverages
302,"94-528-8088",Haddock,Seafood
303,"93-166-3169",White Tea,Beverages
304,"71-015-9181",Pomegranate,Fruits & Vegetables
305,"97-040-3822",Swiss Cheese,Dairy
306,"23-265-8144",Yogurt,Dairy
308,"31-627-6025",White Bread,Bakery
309,"83-556-0996",Powdered Sugar,Grains & Pulses
310,"95-252-9619",Carrot,Fruits & Vegetables
311,"98-064-4465",Mozzarella Cheese,Dairy
312,"95-262-6208",Black Tea,Beverages
313,"14-844-4138",Black Coffee,Beverages
314,"19-244-9890",Herbal Tea,Beverages
315,"51-934-9117",Sardines,Seafood
316,"35-617-3857",Arabica Coffee,Beverages
317,"91-290-9062",Digestive Biscuit,Bakery
318,"22-329-7791",Watermelon,Fruits & Vegetables
319,"36-636-4873",Black Rice,Grains & Pulses
320,"00-641-8691",Black Coffee,Beverages
321,"71-594-6552",Long Grain Rice,Grains & Pulses
322,"20-405-4865",Milk,Dairy
323,"17-274-6898",Whole Wheat Bread,Bakery
324,"10-255-8579",Basmati Rice,Grains & Pulses
325,"04-758-0410",Wild Rice,Grains & Pulses
326,"67-382-4435",Green Beans,Fruits & Vegetables
327,"16-380-0753",Apricot,Fruits & Vegetables
328,"56-213-0577",Papaya,Fruits & Vegetables
329,"74-818-3306",Spinach,Fruits & Vegetables
330,"75-080-4909",Corn Oil,Oils & Fats
331,"65-674-6076",Egg (Quail),Dairy
332,"91-417-0366",Grapes,Fruits & Vegetables
333,"19-672-8982",Butter,Dairy
334,"54-830-6971",Tilapia,Seafood
335,"24-986-5091",Vanilla Biscuit,Bakery
336,"55-164-7723",Halibut,Seafood
337,"94-355-3070",Tilapia,Seafood
338,"27-757-4489",Egg (Goose),Dairy
339,"95-349-0828",Feta Cheese,Dairy
340,"66-312-5511",Anchovies,Seafood
341,"80-371-3695",Cottage Cheese,Dairy
342,"55-680-0982",Green Tea,Beverages
343,"68-761-6907",Zucchini,Fruits & Vegetables
344,"85-207-4164",Eggplant,Fruits & Vegetables
345,"26-000-1012",Parmesan Cheese,Dairy
346,"15-144-9413",Strawberries,Fruits & Vegetables
347,"27-681-5588",Anchovies,Seafood
348,"19-967-0632",Short Grain Rice,Grains & Pulses
349,"75-152-8731",Pear,Fruits & Vegetables
350,"76-027-4850",Onion,Fruits & Vegetables
351,"53-050-8242",Mackerel,Seafood
352,"09-712-3630",Grapes,Fruits & Vegetables
353,"73-561-2867",Sourdough Bread,Bakery
354,"99-420-3592",Butter Biscuit,Bakery
355,"29-875-6900",Papaya,Fruits & Vegetables
356,"22-621-2774",Strawberries,Fruits & Vegetables
357,"07-834-3320",Egg (Quail),Dairy
358,"65-145-9672",Long Grain Rice,Grains & Pulses
359,"80-020-8041",Black Rice,Grains & Pulses
360,"34-086-3222",Lemon,Fruits & Vegetables
361,"45-172-7012",Papaya,Fruits & Vegetables
362,"22-895-6595",Rice Flour,Grains & Pulses
363,"43-693-2092",Butter,Dairy
364,"45-194-4094",Plum,Fruits & Vegetables
365,"27-783-5470",Feta Cheese,Dairy
366,"02-655-3240",Rice Flour,Grains & Pulses
367,"20-325-1965",Coconut,Fruits & Vegetables
368,"06-503-5891",Egg (Goose),Dairy
369,"85-835-3445",Egg (Goose),Dairy
370,"40-462-2952",Trout,Seafood
371,"63-270-7076",Multigrain Bread,Bakery
372,"08-396-2704",White Sugar,Grains & Pulses
373,"56-054-8664",Lemon,Fruits & Vegetables
374,"67-248-6306",Cauliflower,Fruits & Vegetables
375,"89-922-4773",Whole Wheat Flour,Grains & Pulses
376,"43-703-9939",Pineapple,Fruits & Vegetables
377,"03-919-9890",Halibut,Seafood
378,"25-010-9478",Eggplant,Fruits & Vegetables
379,"62-100-2245",Sourdough Bread,Bakery
380,"70-587-1204",Black Rice,Grains & Pulses
381,"21-816-1004",Black Coffee,Beverages
382,"87-391-9658",Corn Oil,Oils & Fats
383,"51-572-5497",Orange,Fruits & Vegetables
384,"70-612-2531",Pineapple,Fruits & Vegetables
385,"00-842-9790",Egg (Goose),Dairy
386,"38-555-9147",Black Coffee,Beverages
387,"35-299-0889",Coconut Oil,Oils & Fats
388,"11-325-7396",Mango,Fruits & Vegetables
389,"38-822-8005",Cucumber,Fruits & Vegetables
390,"76-584-4790",Peanut Oil,Oils & Fats
391,"51-583-6029",Digestive Biscuit,Bakery
392,"62-777-6010",Sushi Rice,Grains & Pulses
393,"01-703-8441",Raw Sugar,Grains & Pulses
394,"87-698-0944",Banana,Fruits & Vegetables
395,"61-293-6327",Salmon,Seafood
396,"98-909-9395",Cottage Cheese,Dairy
397,"84-151-2114",Brown Rice,Grains & Pulses
398,"01-839-6534",Short Grain Rice,Grains & Pulses
399,"89-602-6755",Milk,Dairy
400,"92-551-8504",Raw Sugar,Grains & Pulses
401,"58-229-1358",Cream,Dairy
402,"74-943-9034",White Bread,Bakery
403,"36-679-4670",Bell Pepper,Fruits & Vegetables
404,"53-680-5293",Cheddar Cheese,Dairy
405,"29-756-7042",Digestive Biscuit,Bakery
406,"80-375-9075",Swiss Cheese,Dairy
407,"47-802-5023",Cod,Seafood
408,"69-171-1305",Brown Rice,Grains & Pulses
409,"56-191-6497",Bread Flour,Grains & Pulses
410,"97-710-2449",Rye Bread,Bakery
411,"77-777-4536",Basmati Rice,Grains & Pulses
412,"96-774-0457",Cod,Seafood
413,"67-725-6830",Brown Rice,Grains & Pulses
414,"57-763-5501",Cod,Seafood
415,"40-913-9772",Egg (Chicken),Dairy
416,"57-394-4703",White Tea,Beverages
417,"53-151-5726",Grapes,Fruits & Vegetables
418,"51-761-6320",Egg (Goose),Dairy
419,"08-519-5579",Broccoli,Fruits & Vegetables
420,"26-177-5690",Cucumber,Fruits & Vegetables
421,"00-119-8780",Halibut,Seafood
422,"57-167-0669",Haddock,Seafood
423,"69-895-3397",Cucumber,Fruits & Vegetables
424,"40-681-9981",Arabica Coffee,Beverages
425,"65-718-0492",Olive Oil,Oils & Fats
426,"54-758-4622",Chocolate Biscuit,Bakery
427,"11-053-0107",Cherry,Fruits & Vegetables
428,"56-810-0550",Mackerel,Seafood
429,"21-650-9319",White Bread,Bakery
430,"49-199-6836",Tomato,Fruits & Vegetables
431,"31-157-1822",Ricotta Cheese,Dairy
432,"21-013-3508",Cabbage,Fruits & Vegetables
433,"80-334-0215",Grapes,Fruits & Vegetables
434,"58-005-5343",Cucumber,Fruits & Vegetables
435,"44-546-5713",Peach,Fruits & Vegetables
436,"58-063-8633",Bell Pepper,Fruits & Vegetables
437,"86-330-0214",Arabica Coffee,Beverages
438,"54-281-3746",Green Beans,Fruits & Vegetables
439,"67-984-5368",Parmesan Cheese,Dairy
440,"89-181-4523",Wild Rice,Grains & Pulses
441,"72-810-9753",Sesame Oil,Oils & Fats
442,"19-854-3663",Watermelon,Fruits & Vegetables
443,"96-334-2593",White Tea,Beverages
444,"38-417-4656",White Sugar,Grains & Pulses
445,"95-090-2788",Sesame Oil,Oils & Fats
446,"16-354-8122",Digestive Biscuit,Bakery
447,"87-997-0228",Watermelon,Fruits & Vegetables
448,"83-966-3280",Mackerel,Seafood
449,"10-002-6494",Mango,Fruits & Vegetables
450,"50-329-3145",Milk,Dairy
451,"80-025-6757",Grapes,Fruits & Vegetables
452,"56-668-5370",Vegetable Oil,Oils & Fats
453,"23-070-2433",Powdered Sugar,Grains & Pulses
454,"41-237-5498",Cheese,Dairy
455,"87-791-5803",Tuna,Seafood
456,"12-342-4482",Trout,Seafood
457,"92-995-8689",Cheddar Cheese,Dairy
458,"02-170-5225",Raw Sugar,Grains & Pulses
459,"05-184-4175",Black Coffee,Beverages
460,"07-617-6934",Coconut Sugar,Grains & Pulses
461,"95-449-1286",Egg (Chicken),Dairy
462,"82-811-7988",Olive Oil,Oils & Fats
463,"56-894-3733",Yogurt,Dairy
464,"40-126-0515",Carrot,Fruits & Vegetables
465,"99-137-1730",Bread Flour,Grains & Pulses
466,"74-642-2435",Cauliflower,Fruits & Vegetables
467,"68-732-5919",Jasmine Rice,Grains & Pulses
468,"47-749-3277",Powdered Sugar,Grains & Pulses
469,"74-610-2295",Green Coffee,Beverages
470,"73-874-7534",Pomegranate,Fruits & Vegetables
471,"93-014-4256",Green Beans,Fruits & Vegetables
472,"11-155-7826",Arabica Coffee,Beverages
473,"62-816-8794",Rice Flour,Grains & Pulses
474,"03-149-9760",Whipped Cream,Dairy
475,"20-283-0111",Pear,Fruits & Vegetables
476,"60-632-8752",Chocolate Biscuit,Bakery
477,"28-968-4195",Eggplant,Fruits & Vegetables
478,"09-618-2842",White Sugar,Grains & Pulses
479,"61-680-9496",Apple,Fruits & Vegetables
480,"45-634-0679",Haddock,Seafood
481,"57-779-4955",Black Rice,Grains & Pulses
482,"99-894-4351",White Sugar,Grains & Pulses
483,"04-277-5245",Coconut Sugar,Grains & Pulses
484,"56-635-6764",Sourdough Bread,Bakery
485,"90-865-9150",Powdered Sugar,Grains & Pulses
486,"30-964-2694",Peas,Fruits & Vegetables
487,"18-278-2383",Gouda Cheese,Dairy
488,"39-629-5554",Egg (Goose),Dairy
489,"19-610-2236",Whole Wheat Bread,Bakery
490,"21-890-2826",Gouda Cheese,Dairy
491,"83-625-3618",Asparagus,Fruits & Vegetables
492,"87-272-6544",Egg (Goose),Dairy
493,"40-205-8252",Multigrain Bread,Bakery
494,"92-152-5820",Black Tea,Beverages
495,"44-112-3331",Tuna,Seafood
496,"00-366-9496",Grapes,Fruits & Vegetables
497,"70-145-2550",Lemon,Fruits & Vegetables
498,"19-377-5021",Mackerel,Seafood
499,"27-474-0056",Spinach,Fruits & Vegetables
500,"29-896-7926",White Rice,Grains & Pulses
501,"17-002-4721",Green Beans,Fruits & Vegetables
502,"51-459-5630",Sour Cream,Dairy
503,"85-510-2915",White Bread,Bakery
504,"04-542-3863",Bread Flour,Grains & Pulses
505,"74-181-4135",Egg (Chicken),Dairy
506,"94-525-6925",Rye Bread,Bakery
507,"48-461-3742",Kiwi,Fruits & Vegetables
508,"85-806-0613",Oatmeal Biscuit,Bakery
509,"98-546-7398",Yogurt,Dairy
510,"27-387-0428",Halibut,Seafood
511,"66-806-6051",Yogurt,Dairy
512,"71-085-4290",Cucumber,Fruits & Vegetables
513,"26-629-5920",Rye Bread,Bakery
514,"85-212-2729",Egg (Turkey),Dairy
515,"15-907-3681",Plum,Fruits & Vegetables
516,"83-108-1174",White Bread,Bakery
517,"14-331-3739",Avocado Oil,Oils & Fats
518,"46-622-3434",Jasmine Rice,Grains & Pulses
519,"76-459-2392",Palm Oil,Oils & Fats
520,"98-235-2711",Asparagus,Fruits & Vegetables
521,"35-328-8392",Long Grain Rice,Grains & Pulses
522,"87-104-0187",Whole Wheat Flour,Grains & Pulses
523,"71-516-1996",Corn Oil,Oils & Fats
524,"76-401-7083",Pomegranate,Fruits & Vegetables
525,"24-975-4231",Green Beans,Fruits & Vegetables
526,"11-604-6002",Canola Oil,Oils & Fats
527,"32-270-1385",Greek Yogurt,Fruits & Vegetables
528,"72-066-4597",Broccoli,Fruits & Vegetables
529,"09-286-8107",Greek Yogurt,Dairy
530,"43-193-9915",Mozzarella Cheese,Dairy
531,"43-851-9440",Lime,Fruits & Vegetables
532,"08-637-9335",Lettuce,Fruits & Vegetables
533,"04-001-1793",Green Coffee,Beverages
534,"27-442-3654",Herbal Tea,Beverages
535,"89-388-3239",Grapes,Fruits & Vegetables
536,"79-569-8856",Vegetable Oil,Oils & Fats
537,"53-710-7630",Rice Flour,Grains & Pulses
538,"40-630-1431",Cherry,Fruits & Vegetables
539,"48-242-8445",Plum,Fruits & Vegetables
540,"07-389-5740",Egg (Quail),Dairy
541,"31-745-6850",Cabbage,Fruits & Vegetables
542,"34-131-8805",Yogurt,Dairy
543,"20-054-3716",Chocolate Biscuit,Bakery
544,"52-481-5224",Kiwi,Fruits & Vegetables
545,"92-362-3567",Tomato,Fruits & Vegetables
546,"40-793-7235",Sour Cream,Dairy
547,"80-039-1261",Strawberries,Fruits & Vegetables
548,"06-731-2162",Lemon,Fruits & Vegetables
549,"24-478-8277",Multigrain Bread,Bakery
550,"74-305-1263",Green Coffee,Beverages
551,"92-455-2959",Robusta Coffee,Beverages
552,"56-303-5256",Wild Rice,Grains & Pulses
553,"51-273-4240",Multigrain Bread,Bakery
554,"92-652-3737",Zucchini,Fruits & Vegetables
555,"34-547-0827",White Rice,Grains & Pulses
556,"98-148-0940",Egg (Chicken),Dairy
557,"36-899-5324",Orange,Fruits & Vegetables
558,"50-942-2409",Peas,Fruits & Vegetables
559,"15-796-3130",Rye Bread,Bakery
560,"81-268-5905",Mackerel,Seafood
561,"12-046-2988",Corn Oil,Oils & Fats
562,"68-734-1585",Greek Yogurt,Fruits & Vegetables
563,"57-394-1587",Bread Flour,Grains & Pulses
564,"35-529-2933",Broccoli,Fruits & Vegetables
565,"26-031-8070",Vegetable Oil,Oils & Fats
566,"77-959-1018",Lettuce,Fruits & Vegetables
567,"60-311-5701",Sesame Oil,Oils & Fats
681,"36-127-4273",Ricotta Cheese,Dairy
568,"67-270-7464",Jasmine Rice,Grains & Pulses
